time,signal
0.025304794311523438,819
0.05012679100036621,857
0.0752110481262207,911
0.09993910789489746,997
0.1250910758972168,1111
0.14991116523742676,1200
0.17495989799499512,1236
0.19979596138000488,1244
0.22463488578796387,1287
0.24948692321777344,1352
0.27448296546936035,1458
0.2993769645690918,1604
0.3245360851287842,1764
0.34905099868774414,1923
0.3742649555206299,2088
0.3989551067352295,2260
0.42400383949279785,2413
0.449005126953125,2527
0.4737842082977295,2615
0.4985330104827881,2677
0.5235657691955566,2746
0.5484030246734619,2846
0.5735599994659424,2944
0.5981168746948242,3022
0.6231369972229004,3071
0.6480231285095215,2970
0.6730220317840576,2614
0.6978549957275391,2167
0.7229368686676025,1903
0.7478511333465576,1861
0.7728390693664551,1934
0.7978360652923584,2022
0.822659969329834,2054
0.8472578525543213,679
0.8734259605407715,649
0.8969070911407471,643
0.9217109680175781,680
0.9466021060943604,725
0.9715290069580078,762
0.9964599609375,785
1.0215349197387695,821
1.0461540222167969,881
1.071225881576538,961
1.0961668491363525,1038
1.1212739944458008,1098
1.1461970806121826,1135
1.171252965927124,1155
1.1960699558258057,1198
1.2211079597473145,1264
1.245668888092041,1339
1.2708139419555664,1414
1.2954697608947754,1475
1.3204338550567627,1519
1.3453388214111328,1543
1.3704278469085693,1568
1.3952889442443848,1615
1.420194149017334,1677
1.445220947265625,1700
1.4698739051818848,1539
1.494837999343872,1133
1.5195930004119873,679
1.5446648597717285,426
1.5695381164550781,371
1.5947411060333252,413
1.619143009185791,475
1.644500970840454,528
1.6692290306091309,678
1.6942338943481445,700
1.71915602684021,739
1.7442691326141357,764
1.7688219547271729,755
1.7939469814300537,731
1.818821907043457,709
1.8437628746032715,699
1.868600845336914,717
1.8935070037841797,752
1.918375015258789,809
1.9433190822601318,881
1.9682178497314453,956
1.9932618141174316,1021
2.0179641246795654,1088
2.042846918106079,1143
2.0678210258483887,1190
2.092766046524048,1232
2.1176321506500244,1294
2.1426310539245605,1346
2.167559862136841,1381
2.1924190521240234,1420
2.2171900272369385,1476
2.242318868637085,1533
2.267230987548828,1548
2.292280912399292,1362
2.316925048828125,949
2.341938018798828,530
2.366798162460327,338
2.3918888568878174,342
2.416767120361328,444
2.4417731761932373,562
2.466264009475708,836
2.491446018218994,901
2.516295909881592,949
2.5415570735931396,1005
2.566321849822998,1024
2.591201066970825,1006
2.6158018112182617,972
2.640949010848999,950
2.6657040119171143,961
2.6907620429992676,998
2.7153849601745605,1063
2.74048113822937,1127
2.76524019241333,1192
2.7903151512145996,1262
2.815040111541748,1338
2.8400940895080566,1401
2.8650388717651367,1459
2.890001058578491,1514
2.914841890335083,1568
2.9397518634796143,1610
2.9645819664001465,1655
2.989806890487671,1710
3.014580011367798,1756
3.0397441387176514,1804
3.0643210411071777,1825
3.0894558429718018,1624
3.114203929901123,1169
3.13918399810791,712
3.1638338565826416,492
3.18904185295105,486
3.213823080062866,584
3.238762140274048,706
3.263502836227417,825
3.2886741161346436,869
3.313343048095703,902
3.338189125061035,944
3.36311411857605,987
3.3882648944854736,1018
3.4132039546966553,1025
3.438246965408325,1020
3.4627981185913086,1027
3.487946033477783,1047
3.5127880573272705,1097
3.5377368927001953,1169
