time,spo2,heartrate,perfusion_index
0.8736319541931152,93,0,70.0
1.8857548236846924,93,66,70.0
2.89855694770813,93,66,70.0
3.9131269454956055,93,66,80.0
4.924700021743774,93,74,80.0
5.937598943710327,93,74,90.0
6.95187520980835,93,74,90.0
7.963923931121826,94,78,100.0
8.976461172103882,94,78,110.0
9.9910569190979,94,78,110.0
11.002457857131958,94,78,110.0
12.015558004379272,94,74,110.0
13.02978801727295,94,74,110.0
14.041363000869751,94,74,110.0
15.054446935653687,94,68,110.0
16.068368911743164,94,68,100.0
17.080522060394287,95,68,100.0
18.093374967575073,95,72,100.0
19.10741400718689,95,72,100.0
