14:51:11.940  14,0,71,785830
14:51:11.940 R,8674,8792,9523,11284,8674,8792,9523,11284,24212,25937,21343,24526,  11,-254,  15,0,71,885830
14:51:11.940 R,8673,8792,9522,11288,8673,8792,9522,11288,24214,25945,21345,24527,  10,-252,  15,0,71,985830
14:51:11.940 R,8676,8795,9523,11296,8676,8795,9523,11296,24221,25941,21347,24534,  11,-254,  16,0,71,085890
14:51:11.940 R,8677,8796,9527,11296,8677,8796,9527,11296,24212,25926,21346,24525,  12,-255,  15,0,71,185890
14:51:11.940 R,8679,8797,9526,11295,8679,8797,9526,11295,24218,25942,21354,24541,  12,-253,  16,0,71,285890
14:51:11.940 R,8680,8798,9528,11296,8680,8798,9528,11296,24225,25942,21353,24539,  14,-252,  16,0,71,385890
14:51:12.091 R,8679,8799,9529,11295,8679,8799,9529,11295,24225,25945,21353,24540,  12,-252,  16,0,71,485890
14:51:12.091 R,8685,8799,9528,11298,8685,8799,9528,11298,24233,25945,21356,24547,  14,-253,  16,0,71,c85960
14:51:12.091 R,8681,8796,9525,11292,8681,8796,9525,11292,24228,25942,21349,24543,  15,-255,  17,0,71,d85960
14:51:12.091 R,8678,8792,9527,11289,8678,8792,9527,11289,24229,25935,21347,24535,  15,-255,  16,0,71,e85960
14:51:12.091 R,8679,8788,9523,11289,8679,8788,9523,11289,24228,25940,21344,24529,  15,-254,  16,0,71,f85960
14:51:12.241 R,8677,8785,9522,11284,8677,8785,9522,11284,24224,25932,21341,24525,  15,-253,  15,0,71,085960
14:51:12.241 R,8670,8781,9516,11276,8670,8781,9516,11276,24216,25925,21332,24516,  14,-254,  14,0,71,886030
14:51:12.241 R,8670,8781,9517,11272,8670,8781,9517,11272,24213,25923,21333,24513,  12,-253,  14,0,71,986030
14:51:12.241 R,8669,8781,9517,11275,8669,8781,9517,11275,24211,25921,21334,24511,  13,-253,  15,0,71,a86030
14:51:12.241 R,8670,8778,9515,11274,8670,8778,9515,11274,24209,25924,21331,24513,  14,-253,  14,0,71,b86030
14:51:12.395 R,8670,8780,9518,11272,8670,8780,9518,11272,24210,25923,21328,24507,  14,-253,  14,0,71,c86030
14:51:12.395 R,8671,8780,9515,11274,8671,8780,9515,11274,24211,25921,21329,24507,  13,-254,  10,0,71,486100
14:51:12.395 R,8668,8781,9516,11273,8668,8781,9516,11273,24207,25921,21329,24509,  14,-255,  10,0,71,586100
14:51:12.395 R,8670,8781,9515,11271,8670,8781,9515,11271,24210,25921,21328,24509,  14,-254,  10,0,71,686100
14:51:12.395 R,8669,8778,9516,11274,8669,8778,9516,11274,24208,25919,21327,24509,  13,-254,  10,0,71,786100
14:51:12.541 R,8670,8782,9512,11272,8670,8782,9512,11272,24206,25917,21328,24508,  13,-253,  10,0,71,886100
14:51:12.541 R,8669,8780,9514,11271,8669,8780,9514,11271,24209,25920,21331,24509,  13,-254,  10,0,71,986100
14:51:12.541 R,8670,8783,9515,11277,8670,8783,9515,11277,24209,25919,21333,24511,  14,-255,  11,0,71,086160
14:51:12.541 R,8669,8781,9515,11277,8669,8781,9515,11277,24208,25921,21328,24511,  12,-255,  12,0,71,186160
14:51:12.541 R,8672,8789,9515,11275,8672,8789,9515,11275,24211,25921,21334,24513,  11,-253,  14,0,71,286160
14:51:12.692 R,8670,8785,9519,11280,8670,8785,9519,11280,24210,25923,21334,24514,  10,-254,  14,0,71,386160
14:51:12.692 R,8671,8785,9517,11278,8671,8785,9517,11278,24212,25921,21333,24515,  13,-254,  14,0,71,486160
14:51:12.692 R,8674,8791,9523,11285,8674,8791,9523,11285,24216,25928,21341,24519,  13,-254,  18,0,71,c86230
14:51:12.692 R,8675,8789,9520,11287,8675,8789,9520,11287,24219,25926,21343,24521,  13,-253,  19,0,71,d86230
14:51:12.692 R,8676,8791,9520,11288,8676,8791,9520,11288,24219,25929,21342,24522,  13,-254,  19,0,71,e86230
14:51:12.692 R,8678,8792,9525,11290,8678,8792,9525,11290,24222,25928,21344,24525,  13,-254,  19,0,71,f86230
14:51:13.020 R,8677,8791,9523,11288,8677,8791,9523,11288,24218,25929,21344,24524,  14,-253,  19,0,71,086230
14:51:13.020 R,8682,8795,9526,11297,8682,8795,9526,11297,24225,25933,21347,24535,   9,-253,  21,0,71,786290
14:51:13.020 R,8680,8799,9525,11297,8680,8799,9525,11297,24224,25933,21354,24536,  10,-252,  21,0,71,886290
14:51:13.020 R,8682,8798,9530,11298,8682,8798,9530,11298,24230,25941,21355,24543,  11,-250,  21,0,71,986290
14:51:13.020 R,8682,8800,9526,11297,8682,8800,9526,11297,24231,25938,21353,24536,  10,-251,  22,0,71,a86290
14:51:13.020 R,8683,8800,9530,11301,8683,8800,9530,11301,24230,25939,21354,24535,  10,-251,  21,0,71,b86290
14:51:13.023 R,8686,8796,9528,11295,8686,8796,9528,11295,24236,25936,21351,24535,  13,-252,  23,0,71,286350
14:51:13.023 R,8683,8792,9522,11287,8683,8792,9522,11287,24230,25932,21346,24530,  12,-252,  22,0,71,386350
14:51:13.023 R,8681,8789,9522,11288,8681,8789,9522,11288,24230,25931,21340,24527,  13,-252,  22,0,71,486350
14:51:13.023 R,8680,8787,9522,11282,8680,8787,9522,11282,24229,25921,21346,24520,  12,-251,  21,0,71,586350
14:51:13.142 R,8679,8786,9522,11281,8679,8786,9522,11281,24225,25925,21336,24519,  11,-251,  22,0,71,686350
14:51:13.142 R,8672,8784,9515,11274,8672,8784,9515,11274,24217,25919,21332,24510,   9,-254,  18,0,71,086440
14:51:13.142 R,8671,8782,9515,11273,8671,8782,9515,11273,24215,25917,21334,24507,   8,-254,  19,0,71,186440
14:51:13.142 R,8672,8784,9518,11276,8672,8784,9518,11276,24215,25920,21332,24509,  10,-254,  18,0,71,286440
14:51:13.142 R,8672,8783,9516,11262,8672,8783,9516,11262,24212,25917,21332,24508,   9,-253,  18,0,71,386440
14:51:13.291 R,8675,8784,9514,11277,8675,8784,9514,11277,24213,25914,21331,24507,  11,-254,  18,0,71,486440
14:51:13.291 R,8673,8785,9515,11277,8673,8785,9515,11277,24216,25915,21334,24511,   9,-255,  18,0,71,586440
14:51:13.291 R,8672,8782,9514,11276,8672,8782,9514,11276,24210,25915,21333,24507,   7,-254,  19,0,71,a86480
14:51:13.291 R,8672,8785,9516,11276,8672,8785,9516,11276,24205,25909,21327,24500,   8,-253,  19,0,71,b86480
14:51:13.291 R,8672,8785,9516,11278,8672,8785,9516,11278,24214,25918,21330,24509,   8,-254,  19,0,71,c86480
14:51:13.442 R,8669,8784,9515,11278,8669,8784,9515,11278,24212,25917,21331,24508,   9,-253,  18,0,71,d86480
14:51:13.442 R,8673,8785,9517,11280,8673,8785,9517,11280,24211,25916,21334,24513,  10,-255,  18,0,71,e86480
14:51:13.442 R,8673,8787,9518,11283,8673,8787,9518,11283,24213,25916,21337,24514,   9,-254,  20,0,71,986580
14:51:13.442 R,8689,8791,9543,11298,8689,8791,9543,11298,24214,25917,21340,24516,   8,-253,  19,0,71,a86580
14:51:13.442 R,8674,8790,9519,11283,8674,8790,9519,11283,24214,25922,21338,24516,   9,-254,  20,0,71,b86580
14:51:13.442 R,8676,8789,9523,11286,8676,8789,9523,11286,24215,25922,21337,24518,   9,-254,  20,0,71,c86580
14:51:13.771 R,8675,8791,9521,11284,8675,8791,9521,11284,24214,25919,21342,24523,  10,-253,  20,0,71,d86580
14:51:13.771 R,8680,8793,9523,11289,8680,8793,9523,11289,24226,25925,21345,24525,  11,-255,  20,0,71,486640
14:51:13.771 R,8679,8793,9524,11291,8679,8793,9524,11291,24224,25924,21347,24525,  11,-254,  22,0,71,586640
14:51:13.771 R,8680,8794,9524,11292,8680,8794,9524,11292,24218,25921,21347,24525,  10,-255,  21,0,71,686640
14:51:13.771 R,8680,8795,9522,11292,8680,8795,9522,11292,24226,25928,21347,24531,  10,-254,  21,0,71,786640
14:51:13.775 R,8680,8795,9523,11293,8680,8795,9523,11293,24224,25928,21349,24530,  10,-253,  21,0,71,886640
14:51:13.775 R,8685,8802,9529,11303,8685,8802,9529,11303,24234,25931,21357,24539,  10,-254,  21,0,71,f86700
14:51:13.775 R,8674,8801,9519,11301,8674,8801,9519,11301,24228,25928,21350,24525,  11,-254,  21,0,71,086700
14:51:13.775 R,8684,8796,9525,11296,8684,8796,9525,11296,24233,25928,21353,24533,  12,-255,  21,0,71,186700
14:51:13.775 R,8686,8797,9525,11296,8686,8797,9525,11296,24232,25930,21351,24532,  12,-253,  21,0,71,286700
14:51:13.891 R,8683,8794,9523,11293,8683,8794,9523,11293,24233,25931,21347,24532,  13,-253,  21,0,71,386700
14:51:13.891 R,8684,8790,9522,11276,8684,8790,9522,11276,24231,25925,21344,24527,  12,-254,  20,0,71,486700
