host_time_iso,host_time_unix_ns,sample_index,record_type,ir1,ir2,ir3,ir4,ir1_repeat,ir2_repeat,ir3_repeat,ir4_repeat,red1,red2,red3,red4,accel_x_raw,accel_y_raw,accel_z_raw,accel_x_g,accel_y_g,accel_z_g,reserved,heart_rate,debug
2026-05-18T04:12:08.888+00:00,1779077528889125000,1,R,8242,10045,9678,11372,8242,10045,9678,11372,23426,26764,23513,24003,-112,-231,12,-0.439216,-0.905882,0.047059,0,65,500
2026-05-18T04:12:08.890+00:00,1779077528890298000,2,R,8241,10041,9679,11372,8241,10041,9679,11372,23423,26759,23508,23997,-110,-230,13,-0.431373,-0.901961,0.05098,0,65,600
2026-05-18T04:12:08.890+00:00,1779077528890337000,3,R,8238,10039,9674,11361,8238,10039,9674,11361,23424,26754,23507,23991,-111,-229,12,-0.435294,-0.898039,0.047059,0,65,700
2026-05-18T04:12:08.890+00:00,1779077528890368000,4,R,8237,10037,9676,11360,8237,10037,9676,11360,23424,26756,23502,23986,-111,-228,12,-0.435294,-0.894118,0.047059,0,65,800
2026-05-18T04:12:08.890+00:00,1779077528890397000,5,R,8235,10034,9671,11356,8235,10034,9671,11356,23418,26754,23501,23984,-111,-228,13,-0.435294,-0.894118,0.05098,0,65,900
2026-05-18T04:12:08.890+00:00,1779077528890424000,6,R,8237,10030,9670,11353,8237,10030,9670,11353,23419,26751,23497,23982,-110,-229,12,-0.431373,-0.898039,0.047059,0,65,a00
2026-05-18T04:12:09.038+00:00,1779077529038287000,7,R,8235,10032,9670,11354,8235,10032,9670,11354,23419,26752,23500,23978,-112,-229,12,-0.439216,-0.898039,0.047059,0,65,b00
2026-05-18T04:12:09.038+00:00,1779077529038469000,8,R,8234,10030,9670,11350,8234,10030,9670,11350,23418,26746,23496,23981,-112,-229,12,-0.439216,-0.898039,0.047059,0,65,c00
2026-05-18T04:12:09.038+00:00,1779077529038557000,9,R,8233,10028,9668,11348,8233,10028,9668,11348,23415,26745,23489,23977,-112,-229,11,-0.439216,-0.898039,0.043137,0,65,d00
2026-05-18T04:12:09.038+00:00,1779077529038627000,10,R,8232,10030,9666,11346,8232,10030,9666,11346,23412,26744,23489,23972,-112,-229,12,-0.439216,-0.898039,0.047059,0,65,e00
2026-05-18T04:12:09.038+00:00,1779077529038695000,11,R,8229,10027,9664,11344,8229,10027,9664,11344,23413,26745,23492,23971,-111,-230,11,-0.435294,-0.901961,0.043137,0,65,f00
2026-05-18T04:12:09.188+00:00,1779077529188738000,12,R,8229,10025,9665,11345,8229,10025,9665,11345,23412,26744,23491,23971,-112,-229,11,-0.439216,-0.898039,0.043137,0,65,000
2026-05-18T04:12:09.188+00:00,1779077529188787000,13,R,8230,10029,9663,11350,8230,10029,9663,11350,23411,26741,23492,23969,-113,-230,11,-0.443137,-0.901961,0.043137,0,65,100
2026-05-18T04:12:09.188+00:00,1779077529188810000,14,R,8224,10026,9667,11346,8224,10026,9667,11346,23409,26741,23492,23965,-112,-229,11,-0.439216,-0.898039,0.043137,0,65,200
2026-05-18T04:12:09.188+00:00,1779077529188829000,15,R,8231,10024,9666,11341,8231,10024,9666,11341,23407,26739,23487,23968,-111,-229,11,-0.435294,-0.898039,0.043137,0,65,300
2026-05-18T04:12:09.188+00:00,1779077529188847000,16,R,8228,10026,9664,11341,8228,10026,9664,11341,23406,26740,23490,23967,-111,-229,12,-0.435294,-0.898039,0.047059,0,65,400
2026-05-18T04:12:09.337+00:00,1779077529337723000,17,R,8227,10025,9664,11345,8227,10025,9664,11345,23409,26739,23486,23968,-111,-229,10,-0.435294,-0.898039,0.039216,0,65,500
2026-05-18T04:12:09.337+00:00,1779077529337778000,18,R,8229,10025,9665,11341,8229,10025,9665,11341,23405,26741,23487,23967,-111,-229,12,-0.435294,-0.898039,0.047059,0,65,600
2026-05-18T04:12:09.337+00:00,1779077529337803000,19,R,8228,10026,9663,11342,8228,10026,9663,11342,23405,26738,23488,23969,-112,-228,11,-0.439216,-0.894118,0.043137,0,65,700
2026-05-18T04:12:09.337+00:00,1779077529337823000,20,R,8228,10026,9664,11340,8228,10026,9664,11340,23406,26740,23487,23965,-112,-230,11,-0.439216,-0.901961,0.043137,0,65,800
2026-05-18T04:12:09.337+00:00,1779077529337843000,21,R,8227,10025,9662,11340,8227,10025,9662,11340,23408,26737,23487,23967,-112,-231,11,-0.439216,-0.905882,0.043137,0,65,900
2026-05-18T04:12:09.489+00:00,1779077529489842000,22,R,8224,10024,9664,11343,8224,10024,9664,11343,23403,26732,23487,23958,-111,-231,11,-0.435294,-0.905882,0.043137,0,65,a00
2026-05-18T04:12:09.489+00:00,1779077529490010000,23,R,8228,10024,9663,11338,8228,10024,9663,11338,23405,26734,23490,23965,-111,-230,11,-0.435294,-0.901961,0.043137,0,65,b00
2026-05-18T04:12:09.490+00:00,1779077529490085000,24,R,8226,10023,9662,11341,8226,10023,9662,11341,23401,26730,23485,23965,-111,-230,11,-0.435294,-0.901961,0.043137,0,65,c00
2026-05-18T04:12:09.490+00:00,1779077529490151000,25,R,8225,10024,9663,11341,8225,10024,9663,11341,23405,26737,23486,23967,-111,-229,12,-0.435294,-0.898039,0.047059,0,65,d00
2026-05-18T04:12:09.490+00:00,1779077529490217000,26,R,8225,10023,9658,11335,8225,10023,9658,11335,23403,26735,23488,23962,-111,-229,10,-0.435294,-0.898039,0.039216,0,65,e00
2026-05-18T04:12:09.490+00:00,1779077529490280000,27,R,8225,10024,9663,11340,8225,10024,9663,11340,23401,26738,23484,23964,-111,-229,11,-0.435294,-0.898039,0.043137,0,65,f00
2026-05-18T04:12:09.638+00:00,1779077529638462000,28,R,8226,10024,9661,11338,8226,10024,9661,11338,23403,26732,23486,23962,-110,-229,12,-0.431373,-0.898039,0.047059,0,65,000
2026-05-18T04:12:09.638+00:00,1779077529638580000,29,R,8226,10024,9664,11341,8226,10024,9664,11341,23401,26736,23485,23961,-112,-229,11,-0.439216,-0.898039,0.043137,0,65,100
2026-05-18T04:12:09.638+00:00,1779077529638653000,30,R,8225,10026,9661,11342,8225,10026,9661,11342,23401,26737,23488,23962,-113,-230,11,-0.443137,-0.901961,0.043137,0,65,200
2026-05-18T04:12:09.638+00:00,1779077529638718000,31,R,8225,10023,9662,11339,8225,10023,9662,11339,23399,26732,23483,23961,-112,-230,11,-0.439216,-0.901961,0.043137,0,65,300
2026-05-18T04:12:09.638+00:00,1779077529638795000,32,R,8225,10025,9661,11341,8225,10025,9661,11341,23403,26737,23484,23962,-112,-230,11,-0.439216,-0.901961,0.043137,0,65,400
2026-05-18T04:12:09.789+00:00,1779077529789732000,33,R,8228,10026,9664,11340,8228,10026,9664,11340,23405,26739,23493,23964,-111,-229,12,-0.435294,-0.898039,0.047059,0,65,500
